Station_Name,Street_Address,City,Access_Days_Time,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,EV_Other_Info,New_Georeferenced_Column,Category,Latitude,Longitude,Total_EVSE_Num,distance_to_A,distance_to_B,geometry,Station_Category,Address_Number,Charger_Category
BMW OF DARIEN,138-142 Ledge Rd,Darien,24 hours daily,0,2,0,NONE,POINT (-73.4764687 41.072882),Daily,41.072882,-73.4764687,2,43.71981652492293,35.803134786611,POINT (-73.4764687 41.072882),Level 2 only,0,1-3
Dunkin’ - Tesla Supercharger,893 E Main St,Meriden,24 hours daily; for tesla use only,0,0,8,NONE,POINT (-72.773473 41.527367),Tesla,41.527367,-72.773473,8,59.85230153549091,58.73107092621719,POINT (-72.773473 41.527367),DC Fast only,1,7-9
Town of Beacon Falls - Commuter Lot,105 N Main St,Beacon Falls,24 hours daily,0,1,0,NONE,POINT (-73.065583 41.44548100000001),Daily,41.44548100000001,-73.065583,1,35.177523407635945,32.955946733635685,POINT (-73.065583 41.44548100000001),Level 2 only,2,1-3
OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybrook,24 hours daily,0,2,0,NONE,POINT (-72.3825 41.3102778),Daily,41.3102778,-72.3825,2,93.885243220728,90.15932011861359,POINT (-72.3825 41.3102778),Level 2 only,3,1-3
Fairfield Rail Station,80 Mill Plain Rd,Fairfield,24 hours daily,0,2,0,NONE,POINT (-73.264511 41.143125),Daily,41.143125,-73.264511,2,40.407185631851256,32.1478224438108,POINT (-73.264511 41.143125),Level 2 only,4,1-3
FOUNDRY66,50 Franklin St,Norwich,24 hours daily,0,2,0,NONE,POINT (-72.0741188 41.525611),Daily,41.525611,-72.0741188,2,118.04849891555965,116.1964877593748,POINT (-72.0741188 41.525611),Level 2 only,5,1-3
Corbins Corner Shopping Center - Tesla Supercharger,1445 New Britain Ave.,West Hartford,24 hours daily; for tesla use only,0,0,8,NONE,POINT (-72.759717 41.722672),Tesla,41.722672,-72.759717,8,66.88094708225451,68.41357390522477,POINT (-72.759717 41.722672),DC Fast only,6,7-9
GLASTONBURYEV,2327-2333 Main St,Glastonbury,24 hours daily,0,2,0,NONE,POINT (-72.6086744 41.711717),Daily,41.711717,-72.6086744,2,78.03332280789787,78.81883629342093,POINT (-72.6086744 41.711717),Level 2 only,7,1-3
Whole Foods Market,150 Ledge Rd,Darien,8am-10pm daily; for customer use only,4,0,0,NONE,POINT (-73.476189 41.072919),Daily,41.072919,-73.476189,4,43.71612812394991,35.79780580122516,POINT (-73.476189 41.072919),Level 1 only,8,4-6
Mystic Marriott Hotel and Spa,625 North Rd,Groton,24 hours daily; guest use only; see front desk for access,0,1,0,NONE,POINT (-72.026147 41.365973),Daily,41.365973,-72.026147,1,122.53028391762248,119.4818736460169,POINT (-72.026147 41.365973),Level 2 only,9,1-3
Brass Mill Center - Shoppers World,495 Union St,Waterbury,6am-12am daily,0,2,0,NONE,POINT (-73.025659 41.550922),Daily,41.550922,-73.025659,2,39.533144692230934,39.759788903677034,POINT (-73.025659 41.550922),Level 2 only,10,1-3
University of Connecticut Health - Center Garage,263 Farmington Ave,Farmington,24 hours daily,0,4,0,NONE,POINT (-72.79061800000001 41.730405),Daily,41.730405,-72.79061800000001,4,64.93873662845948,66.71870953835473,POINT (-72.79061800000001 41.730405),Level 2 only,11,4-6
