Station Name,Street Address,City,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,New Georeferenced Column,Total_Charging_Points
BMW OF DARIEN,138-142 Ledge Rd,Darien,24 hours daily,0,2,0,NONE,POINT (-73.4764687 41.072882),2
Dunkin’ - Tesla Supercharger,893 E Main St,Meriden,24 hours daily; for Tesla use only,0,0,8,NONE,POINT (-72.773473 41.527367),8
Town of Beacon Falls - Commuter Lot,105 N Main St,Beacon Falls,24 hours daily,0,1,0,NONE,POINT (-73.065583 41.44548100000001),1
OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybrook,24 hours daily,0,2,0,NONE,POINT (-72.3825 41.3102778),2
Fairfield Rail Station,80 Mill Plain Rd,Fairfield,24 hours daily,0,2,0,NONE,POINT (-73.264511 41.143125),2
FOUNDRY66,50 Franklin St,Norwich,24 hours daily,0,2,0,NONE,POINT (-72.0741188 41.525611),2
Corbins Corner Shopping Center - Tesla Supercharger,1445 New Britain Ave.,West Hartford,24 hours daily; for Tesla use only,0,0,8,NONE,POINT (-72.759717 41.722672),8
GLASTONBURYEV,2327-2333 Main St,Glastonbury,24 hours daily,0,2,0,NONE,POINT (-72.6086744 41.711717),2
Whole Foods Market,150 Ledge Rd,Darien,8am-10pm daily; for customer use only,4,0,0,NONE,POINT (-73.476189 41.072919),4
Mystic Marriott Hotel and Spa,625 North Rd,Groton,24 hours daily; guest use only; see front desk for access,0,1,0,NONE,POINT (-72.026147 41.365973),1
Brass Mill Center - Shoppers World,495 Union St,Waterbury,6am-12am daily,0,2,0,NONE,POINT (-73.025659 41.550922),2
University of Connecticut Health - Center Garage,263 Farmington Ave,Farmington,24 hours daily,0,4,0,NONE,POINT (-72.79061800000001 41.730405),4
D'Addario Nissan,329 Bridgeport Ave,Shelton,Dealership business hours,0,1,1,NONE,POINT (-73.106051 41.299792),2
CT RAIL,198 N Cherry St,Wallingford,24 hours daily,0,2,0,NONE,POINT (-72.8231924 41.4618954),2
Hampton Inn & Suites Rocky Hill - Hartford South - Tesla Destination,685 Cromwell Ave,Rocky Hill,24 hours daily; for customer use only; see front desk for access,0,2,0,NONE,POINT (-72.679679 41.650999),2
Goodwives Shopping Center,25 Old Kings Hwy,Darien,24 hours daily,0,0,1,NONE,POINT (-73.466318 41.078282),1
City of New Haven - Union Station Garage,50 Union Ave,New Haven,24 hours daily; pay lot,0,3,0,NONE,POINT (-72.926722 41.297487000000004),3
